,축제명,주소,연락처,시작일,종료일,위도,경도
74,나라꽃 무궁화 전국축제,세종특별자치시 연기면 수목원로 136,02-6358-7775~6,2021-08-13,2021-08-15,36.4981108410,127.2858062335
75,나를 사랑한 버스커 season2,대구광역시 중구 달구벌대로 2232,053-255-5213,2021-04-24,2021-04-24,35.8618461284,128.6073979595
76,낙동강세계평화문화대축전,경북 칠곡군 석적읍 중지리 552,054-979-6100~5,2021-10-15,2021-10-17,36.0182857122,128.4011395826
77,난타 (명동),서울특별시 중구 명동길 26,02-739-8288,2021-01-01,2021-12-31,37.5634463660,126.9837456304
78,남간정사 우암야행,대전광역시 동구 충정로 53,1599-9210,2021-09-25,2021-10-11,36.3482560780,127.4589975829
79,남도음식문화큰잔치,전라남도 여수시 박람회길 1,061-286-5772,2021-10-15,2021-10-17,34.7522251119,127.7465197232
80,남산골 세시절기 축제 정월대보름 2021,온라인개최,02-2261-0517,2021-02-11,2021-02-26,37.5584387906,126.9935365470
81,남원 춘향제,온라인개최,063-620-5787,2021-05-16,2021-05-19,35.4029483014,127.3799380290
82,"남이섬 ""Ateliê : 4Room - 포르투갈 작가들의 숲속 공방""",강원도 춘천시 남산면 남이섬길 1,031-580-8193,2021-04-24,2021-09-05,37.7901798790,127.5261480243
83,남이섬 '한스 크리스티안 안데르센상 도서전 : 책과 어린이를 하나로' 2021,강원도 춘천시 남산면 남이섬길 1,남이섬교육문화그룹 031-580-8193,2020-10-09,2021-10-31,37.7901798790,127.5261480243
84,네이처파크 미라클크리스마스 2020,대구광역시 달성군 가창면 가창로 891,1688-8511,2020-11-21,2021-01-03,35.7881605357,128.6353392148
85,네이처파크 스윗윈터페스티벌 2021,대구광역시 달성군 가창면 가창로 891,1688-8511,2021-01-04,2021-02-14,35.7881605357,128.6353392148
86,네이처파크 플라워 페스티벌,대구광역시 달성군 가창면 가창로 891,1688-8511,2021-04-10,2021-06-06,35.7881605357,128.6353392148
87,네이처파크 할로윈페스티벌<호박마녀의 초대>,대구광역시 달성군 가창면 가창로 891,1688-8511,2021-09-18,2021-11-07,35.7881605357,128.6353392148
88,노 모어 플라스틱(2021 NO MORE PLASTIC),서울특별시 성동구 왕십리로 63,010-4667-0417,2021-06-03,2021-06-06,37.5436136344,127.0435962960
89,논산 강경젓갈축제,온라인 개최,041-746-5902,2021-10-13,2021-10-17,36.1575310871,127.0097206525
90,논산딸기축제 2021,온라인개최,041-746-8386~8,2021-02-24,2021-02-28,36.2092819866,127.0819933696
91,늘근도둑 이야기,서울특별시 종로구 대학로12길 64,02-3672-0900,2021-01-01,2021-12-31,37.5811613326,127.0036933107
92,달성대구현대미술제,대구광역시 달성군 다사읍 강정본길 57,053-659-4292,2021-09-03,2021-10-03,35.8411652970,128.4650638527
93,대구 꽃박람회,대구광역시 북구 엑스코로 10,053-601-5239,2021-05-27,2021-05-30,35.9070383402,128.6131378604
94,대구 달성토성마을 골목축제,대구광역시 서구 국채보상로81길 43,053-663-4256,2021-04-24,2021-04-24,35.8758161670,128.5747198936
95,대구국제마라톤대회,대구광역시 북구 연암로 40,053-355-3872~3,2021-04-01,2021-05-02,35.8925536396,128.6006893617
96,대구국제뮤지컬페스티벌,온라인개최,053-622-1945,2021-06-18,2021-07-05,35.8834822890,128.5922514695
97,대구국제오페라축제,대구광역시 북구 호암로 15,053-666-6000,2021-09-10,2021-11-07,35.8834461788,128.5920987054
98,대구단편영화제,대구광역시 중구 서성로13길 68-1,053-629-4424,2021-08-25,2021-08-30,35.8722139572,128.5834164502
99,대구도시농업박람회,대구광역시 수성구 달구벌대로 3170,"<a href=""http://ua-daegu.com"" target=""_blank"" title=""새창:대한민국도시농업박람회 홈페이지로 이동"">http://ua-daegu.com</a",2021-10-07,2021-10-10,35.8329539154,128.7015654749
100,대구패션페어 2021,대구광역시 북구 엑스코로 10,053-721-7432,2021-08-27,2021-08-29,35.9070383402,128.6131378604
101,대전ART마임페스티벌,대전광역시 중구 중앙로 101,042-257-1231,2021-10-01,2021-10-02,36.3267634148,127.4209793431
102,대전청년주간,대전광역시 서구 갈마중로30번길 67,070-4267-6881,2021-09-10,2021-09-13,36.3448632715,127.3730470270
103,대전통합과학관광(DST),대전광역시 유성구 대덕대로512번길 30,02-2179-5132,2021-09-27,2021-12-31,36.3788067615,127.3815647884
104,대학로 거리공연축제,서울특별시 종로구 대학로8길 1,02-741-4188,2021-05-28,2021-05-30,37.5809974394,127.0023906561
105,대한민국 국악제,충청남도 공주시 고마나루길 5,02) 744-8051,2021-10-09,2021-10-14,36.4602148885,127.1117256535
106,대한민국 국제요리&제과경연대회,서울특별시 서초구 강남대로 27 AT Center 제 2전시장,"02-802-7666, 7669",2021-06-03,2021-06-06,37.4672141004,127.0396016001
107,대한민국 국제해양레저위크(KIMA WEEK),부산광역시 수영구 광안해변로 219,051-760-1130,2021-08-20,2021-08-29,35.1538269450,129.1185505648
108,대한민국 독서대전,부산광역시 북구 낙동대로1570번길 33,051-309-4944,2021-02-01,2021-12-31,35.1972252740,128.9904660788
109,대한민국 목재산업 박람회(WOOD FAIR 2021),서울특별시 강남구 영동대로 513,02-6404-0166,2021-10-20,2021-10-23,37.5117148467,127.0594429796
110,대한민국 무형문화재대전,전라북도 전주시 완산구 서학로 95,02-3011-2155,2021-10-08,2021-10-17,35.8096094714,127.1596803132
111,대한민국 문화의 달 행사(충남),충청남도 홍성군 홍북읍 충남대로 21,041)635-3812,2021-10-15,2021-10-17,36.6592982402,126.6729209113
112,대한민국 청년미술축제,서울특별시 송파구 백제고분로 270,070-7938-5480,2021-07-16,2021-07-30,37.5022777168,127.0963010045
113,대한민국무용대상,서울특별시 양천구 목동서로 225,02-744-8066,2021-09-10,2021-09-10,37.5271541181,126.8707958384
114,대한민국연극제 in 안동·예천,경상북도 안동시 축제장길 66,054-855-0039,2021-07-17,2021-08-08,36.5594329297,128.7251066358
115,대한민국향토식문화대전(&남북음식문화축제),서울특별시 서초구 강남대로 27,02-511-1540,2021-11-12,2021-11-14,37.4672141004,127.0396016001
116,더현대 플로깅 Heart for Dog,서울특별시 영등포구 여의대로 108,070-7575-2352,2021-10-16,2021-10-31,37.5259691729,126.9283267400
117,덕수궁 왕궁수문장교대의식,서울특별시 중구 세종대로 99,다산콜센터 02-120,2021-01-01,2021-12-31,37.5650460435,126.9761046145
118,덕수궁 풍류,서울특별시 중구 세종대로 99,02-2270-1244,2021-05-01,2021-05-09,37.5658042673,126.9749158128
119,도봉산 페스티벌,도봉산 입구,02-908-2914,2021-10-16,2021-10-17,37.6787451451,127.0434535747
120,도봉옛길 문화제,서울특별시 도봉구 도봉로 552,02-905-4026,2021-10-02,2021-10-09,37.6541590259,127.0384686195
121,도봉한글잔치,서울특별시 도봉구 해등로32가길 16,02-905-4026,2021-10-09,2021-10-09,37.6603469037,127.0222976961
122,도솔산지구 전투전승행사,강원도 양구군 양구읍 박수근로 366-24,033-480-2229,2021-06-19,2021-06-19,38.1042324178,127.9830220431
123,동강국제사진제,강원도 영월군 영월읍 영월로 1909-10,033-375-4554,2021-07-16,2021-09-19,37.1819788343,128.4615147283
124,동아시아문화도시 순천,전라남도 순천시 국가정원1호길 47,032-567-4075,2021-05-14,2021-11-20,37.4476825423,126.7000664030
125,드라이브스루 문경 오미자축제,경상북도 문경시 문경읍 문경대로 2426,054-571-7677,2021-09-17,2021-09-19,36.7420889505,128.0826336405
126,라베니체페스티벌,경기도 김포시 김포한강2로23번길 72,031-996-7382,2021-10-09,2021-10-10,37.6402403400,126.6796212238
127,로봇융합페스티벌,대전광역시 유성구 대덕대로 480,042-250-1341,2021-09-24,2021-09-26,36.3772070293,127.3863644022
128,롯데월드 호러 할로윈 : The Escape,서울특별시 송파구 올림픽로 240,1661-2000,2021-09-10,2021-11-21,37.5112350469,127.0983644514
129,리얼리티 러브 홀림픽,서울특별시 마포구 양화로 161,02-324-9137,2021-05-01,2021-05-29,37.5569904785,126.9233374302
130,마노르블랑 동백스케치 동백꽃축제 2021,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,064-794-0999,2020-11-25,2021-02-14,33.2548510403,126.2949957149
131,마노르블랑 수국축제,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,064-794-0999,2021-04-12,2021-08-31,33.2580867635,126.2930374799
132,만해축전,강원도 인제군 북면 만해로 91,033-461-1588,2021-08-07,2021-10-30,38.1862375638,128.3166085986
133,명량대첩축제 온라인 개최,전라남도 해남군 문내면 관광레저로 12-36,061-286-5265,2021-09-03,2021-09-05,34.5740849043,126.3116750901
134,명주인형극제 2021,강원도 강릉시 경강로2021번길 9-1,033-823-3221,2021-08-11,2021-08-15,37.7503881446,128.8897923899
135,목포항구축제,전라남도 목포시 삼학로92번길 68,061-270-8441,2021-10-14,2021-10-17,34.7828349612,126.3922741039
136,무등울림,광주광역시 동구 의재로 222,062-670-8525,2021-11-12,2021-11-14,35.1336797291,126.9523771168
137,무안연꽃축제,온라인 개최,061-450-5114,2021-08-18,2021-08-22,34.8601285157,126.5298267525
138,무안황토갯벌축제,전라남도 무안군 해제면 용산길 140,061-450-5472,2021-06-23,2021-06-27,35.1038921844,126.3319661146
139,무예24기 시범공연,경기도 수원시 팔달구 정조로 825,수원시립공연단(031-267-1644),2021-03-02,2021-12-31,37.2816684780,127.0134508573
140,무주산골영화제,전라북도 무주군 무주읍 당산리 1118,063-245-6400,2021-06-03,2021-06-13,36.0026741087,127.6615055635
141,문경달빛사랑여행,경상북도 문경시 문경읍 문경대로 2426,054-571-7677,2021-05-22,2021-07-24,36.7420889505,128.0826336405
142,문경사과축제,경상북도 문경시 문경읍 문경대로 2426,054-571-7677,2021-10-16,2021-10-31,36.7420889505,128.0826336405
143,문경찻사발축제,경상북도 문경시 문경읍 문경대로 2426,054-571-7677,2021-10-01,2021-10-10,36.7420889505,128.0826336405
144,"문화로 토닥토닥 ""찾아가는 공연""",온라인개최,찾아가는공연 운영사무국 (02-3443-2695),2021-04-25,2021-05-05,37.5508549625,126.9167298722
145,"물총부대, 더위와의 전쟁",경기도 용인시 기흥구 민속촌로 90,031-288-0000,2021-07-03,2021-08-22,37.2594535228,127.1205723175
146,뮤직드라마 당신만이,서울특별시 종로구 이화장길 26,070-8245-2602,2021-01-01,2021-12-31,37.5766424167,127.0039128630
147,미술주간,서울특별시 종로구 삼청로 30,02-2098-2930,2021-10-07,2021-10-17,37.5786500878,126.9800038741
148,미추홀 윈터마켓 (Winter Market) 2020,인천광역시 미추홀구 주안로 95-19,"032)899-7423, 032)899-7424",2020-12-05,2021-01-31,37.4650357377,126.6806176942
149,밀양 무형문화재 주말 상설공연,경상남도 밀양시 내일중앙2길 19,"055)354-3767, 351-3767",2021-04-10,2021-10-24,35.4970344470,128.7532369100
150,백제문화제 「제67회 백제문화제」,충청남도 공주시 금벽로 368,041-635-6980,2021-09-25,2021-10-03,36.4702612354,127.1274545269
151,베어트리파크 철쭉제,세종특별자치시 전동면 신송로 217,044)863-2220,2021-04-10,2021-05-09,36.6704147109,127.2095361586
152,벨기에 페스티벌,서울특별시 종로구 인사동길 7,02-749-0381,2021-10-21,2021-10-24,37.5716149173,126.9868617818
153,벽초지수목원 국화축제,경기도 파주시 광탄면 부흥로 242,031-957-2004,2021-09-25,2021-11-07,37.8004973858,126.8754182294
154,벽초지수목원 튤립축제,경기도 파주시 광탄면 부흥로 242,031-957-2004,2021-04-07,2021-05-05,37.8005668228,126.8754543355
155,별빛정원우주 365일 별빛축제 2021,경기도 이천시 마장면 덕이로154번길 287-76,031-645-0002,2021-01-01,2021-12-31,37.2412993636,127.3897540042
156,보곡산골 산꽃여행,충청남도 금산군 군북면 자진뱅이길 39,041-750-4147,2021-04-10,2021-04-18,36.1943922555,127.5676115121
157,보물섬 마늘&한우 축제,경상남도 남해군 남해읍 남해대로 2745,055-864-4515,2021-06-24,2021-06-28,34.8319688358,127.8991571146
158,보신각 상설타종행사,서울특별시 종로구 종로 54,02-2133-2641,2021-01-01,2021-12-31,37.5697984025,126.9835621340
159,복사골예술제,온라인개최,032-325-1566,2021-05-04,2021-05-14,37.5035799926,126.7659810559
160,봄 패밀리 페스티벌,경상북도 경주시 경감로 614,054-748-3011,2021-05-01,2021-05-09,35.8298874643,129.2882640602
161,봄날愛 비긴어게인 2021,대구광역시 중구 대봉동 6-11,053-255-5123,2021-02-27,2021-02-27,35.8603268485,128.6069813718
162,봉자페스티벌,경상북도 봉화군 춘양면 춘양로 1501,054-679-1000,2021-07-22,2021-08-15,37.0081780294,128.8299924699
163,부산 국제보트쇼,부산광역시 해운대구 APEC로 55,051-740-8600,2021-04-23,2021-04-25,35.1691116738,129.1363347095
164,부산 낙동강 유채꽃축제,비대면개최,051-501-6051,2021-04-01,2021-04-30,35.2132567428,128.9867798506
165,부산 마이스페스티벌,부산광역시 해운대구 APEC로 55,051-740-7821,2021-04-21,2021-04-23,35.1691116738,129.1363347095
166,부산국제광고제(AD STARS),부산광역시 해운대구 센텀중앙로 97,051-623-5539,2021-08-25,2021-08-27,35.1751552233,129.1245494579
167,부산국제단편영화제,부산광역시 해운대구 수영강변대로 120,051-742-9600,2021-04-21,2021-04-26,35.1713084771,129.1269826847
168,부산국제무용제,부산광역시 해운대구 달맞이길62번길 47,051-868-7881~2,2021-06-04,2021-06-07,35.1580163619,129.1723763250
169,부산국제식품대전,부산광역시 해운대구 APEC로 55,02-588-2489,2021-06-23,2021-06-26,35.1689089062,129.1356514414
170,부산국제어린이청소년영화제,부산광역시 해운대구 수영강변대로 120,051-743-7652,2021-07-05,2021-07-12,35.1707752050,129.1270688034
171,부산국제연극제,온라인개최,051-802-8003,2021-06-11,2021-06-20,35.1272127941,129.0934562537
172,부산국제영화제,부산광역시 해운대구 수영강변대로 120,1688-3010,2021-10-06,2021-10-15,35.1707946470,129.1270576924
173,부산국제차공예박람회,부산광역시 해운대구 APEC로 55,051-740-7705~7,2021-06-17,2021-06-20,35.1690700054,129.1359569660
174,부산국제코미디페스티벌,부산광역시 남구 동제당로 2,051-916-8828,2021-08-20,2021-08-29,35.1341811466,129.0765630877
175,부산국제합창제,온라인개최,070-4172-0682,2021-10-21,2021-10-24,35.1707946470,129.1270576924
176,부산디자인위크,부산광역시 해운대구 APEC로 55,02-2262-7165,2021-06-17,2021-06-20,35.1691366711,129.1363402640
177,부산스토리텔링 축제 [우리동네 문화유산_수영],부산광역시 연제구 중앙대로 1217,051-505-2030,2021-09-01,2021-09-15,35.1931103961,129.0624154826
178,부산원도심골목길축제,부산광역시 중구 용두산길 37-55,051-501-6051,2021-05-21,2021-05-23,35.1009757174,129.0324650517
179,부산원아시아페스티벌,온라인개최,051-780-4144,2021-05-06,2021-05-09,35.2313022594,129.0039806357
180,부산인디커넥트페스티벌 2021,부산광역시 부산진구 중앙대로 672,010-3371-2999,2021-09-09,2021-09-30,35.1530259465,129.0596668192
181,부산커피쇼,부산광역시 해운대구 APEC로 55,02-588-2489,2021-06-23,2021-06-26,35.1690700054,129.1359569660
182,부산푸드필름페스타,부산광역시 해운대구 구남로18번길 24,051-710-6948,2021-07-02,2021-07-04,35.1619128962,129.1588135087
183,부산항축제,부산 동구 초량동 1185-47,051-501-6051,2021-06-19,2021-06-20,35.1129969360,129.0510436637
184,부안 마실축제,전라북도 부안군 부안읍 예술회관길 11,063-580-4777,2021-05-01,2021-06-30,35.7243617115,126.7255045187
185,부천국제만화축제,온라인개최,032-310-3071,2021-09-04,2021-09-12,37.5081512657,126.7424497412
186,부천국제판타스틱영화제,경기도 부천시 길주로 210,032-327-6313,2021-07-08,2021-07-18,37.5036438746,126.7660143844
187,부천생활문화페스티벌 <다락>,경기도 부천시 장말로 107,032-320-6380~6,2021-08-20,2021-08-31,37.4948363559,126.7542268168
188,부평풍물대축제2021,인천광역시 부평구 부평대로 168,032-509-7516,2021-10-13,2021-10-17,37.5071093553,126.7218516493
189,북촌한옥마을 계동마님댁 대보름 달맞이 2021,서울특별시 종로구 계동길 37,02-741-1033,2021-02-23,2021-02-23,37.5790640424,126.9863810591
190,뷰티풀 민트 라이프,서울특별시 송파구 올림픽로 424,고객문의: mintpaper@mpmg.co.kr,2021-06-26,2021-06-27,37.5194456386,127.1224425827
191,브리즈 아트페어,서울특별시 서초구 남부순환로 2406,070-8656-3303,2021-09-02,2021-09-05,37.4785900399,127.0107566806
192,비건페스타,서울특별시 강남구 남부순환로 3104,02-2223-1853,2022-02-18,2021-02-20,37.4957363721,127.0719811806
193,비엔날레 문화콘서트,광주광역시 북구 비엔날레로 111,북구청 특화마을육성과 062-410-8228,2021-07-03,2021-08-28,35.1826203741,126.8902591590
194,빛의 벙커 '반 고흐' 2020,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,1522-2653,2019-12-06,2021-02-28,33.4398096742,126.8990724780
195,사람사랑 생명사랑 밤길걷기 Live WALK,온라인개최,070-7727-1755,2021-09-04,2021-09-12,37.5263886632,126.9336123570
196,산림치유박람회,경상북도 영주시 봉현면 테라피로 209,054-639-3511,2021-10-08,2021-10-17,36.8578218299,128.4726010160
197,"산속등대미술관 제1회 사생대회 ""기후·환경 그리고 우리""",전라북도 완주군 소양면 원암로 82,063-245-2456,2021-05-29,2021-05-29,35.8693487272,127.2520149740
198,삼척 정월대보름제 2021,온라인개최,033-573-9882,2021-02-08,2021-02-26,37.4387321558,129.1597555361
